skill_id	description
2	Number notation, representations and place values (tens, ones)
3	Reading and Writing numbers in numerals and in words
4	Comparing the number of objects in two or more sets
5	Comparing and ordering numbers
6	Patterns in number sequences
7	First, second, third… until tenth
8	Numbers bond for up to 10
9	Concepts of addition and subtraction
10	use of +, -, and =
13	Add and subtracting within 100
14	Adding and subtracting using algorithms
15	Solving 1-step word problems involving addition and subtraction within 20
16	concepts of multiplication and division
18	multiplying within 40
19	dividing within 20
20	solving 1-step word problems involving multiplication and division with pictorial representation
22	solving 1-step word problems involving addition and subtraction of money in dollars only
23	measuring and comparing the length of objects in non-standard units
24	telling time to the hour/half hour
25	identifying, naming, describing and classifying 2D shapes
26	making/completing patterns with 2D shapes according to size, shape, colour, orientation
27	reading and interpreting data from picture graphs
28	counting in tens/hundreds
29	number notation, representations and place values (hunds, tens, ones)
30	reading and writing numbers in numerals and in words
31	comparing and ordering numbers
32	patterns in number sequences
33	odd and even numbers
34	addition and subtraction algorithms (up to 3 digits)
35	solving up to 2-step word problems involving addition and subtraction
36	multiplication tables of 2,3,4,5 and 10
37	use of +
39	multiplying and dividing within the multiplication tables
40	solving 1-step word problems involving multiplication and division within the multiplication tables
41	fraction as part of a whole
42	notation and representation of fractions
43	comparing and ordering fractions with denominator of giving fractions not exceeding 12
44	adding and subtracting like fractions within one whole with denominators of given fractions not exceeding 12
45	counting aound of money in dollars and cents
46	reading and writing money in decimal notation
48	converting an amount of money in decimal notation to cents only and vice versa
49	solving word problems involving money in dollars only (or in cents only)
50	measuring length, mass and volume of liquid
51	measuring and drawing a line segment to the nearest cm
52	using appropriate units of measurement and their abbreviations cm, m, g, kg, l
53	comparing and ordering lengths, masses and volumes
54	solving word problems involving length/mass/volume
55	telling time to 5 minutes
56	use of 'a.m. ' and 'p.m.'
59	identifying, naming, describing and classifying 2D shapes semicircle, quarter circle
60	identifying the basic shapes that make up a given figure
61	forming different 2D figures with rectangle, square, triangle, semicircle, quarter circle
62	identifying, naming, describing and classifying 3D shapes: cubes, cuboid, cone, cylinder and sphere
63	reading and interpreting data from picture graphs with scales
64	solving 1-step problems using data from picture graphs
65	counting in hundreds/thousands
66	number notation, representations and place values (thousands, hundreds, tens, ones)
67	reading and writing numbers in numerals and in words to 10000
68	comparing and order numbers to 10000
69	patterns and ordering numbers to 10000
70	addition and subtraction algorithms (up to 4 digits)
71	solving up to 2-step word problems involving addition and subtraction up to 4 digits
72	multiplication tables of 6,7,8 and 9
73	multiplying and dividing within the multiplication tables of 6,7.8 and 9
74	division with remainder
75	multiplication and division algorithms (up to 3 digits by 1 digit)
76	solving up to 2-step word problems involving the 4 operations
77	equivalent fractions
78	expressing a fraction in its simplest form
79	comparing and ordering unlike fractions with denominations of given fractions not exceeding 12
80	writing the equivalent fraction of a fraction given the denominator or the numerator
81	adding and subtracting two related fractions witin one whole with denominators of given fractions not exceeding 12
82	adding and subtracting money in decimal notation
83	solving word problems involving addition and subtraction of money in decimal notation
84	measuring length in km and volume in ml
85	measuring length/mass/volume in compound units
86	converting a measurement in compound units to the smaller unit, and vice versa
87	solving word problems involving length/mass/volume/capacity excluding fractions and compound units
88	telling time to the minute
89	use of 'past' and 'to' to tell time
90	measuring time in hours and minutes
91	converting time in hours and minutes to minutes only and vice versa
92	finding the starting time, finishing time or duration given the other two quantities
93	solving problems involving time in hours and minutes
94	concepts of area and perimeter of a plane figure
95	measuring area in square units, cm2 and m2 excluding conversion between cm2 and m2
96	perimeter of rectlinear figure, rectangle and square
97	area of rectangle/square
98	concepts of angle
99	right angles, angles greater than/smaller than a right angle
100	perpendicular and parallel lines
102	reading and interpreting data from bar graphs
105	number notation, representations and place values (ten thousands, thousands, hundreds, tens and ones)
106	reading and writing numbers in numerals and in words
107	comparing and ordering numbers
