id	skill	description
1	Counting	Counting to tell the number of objects in a given set
2	Number Notation	Number notation, representations and place values (tens, ones)
3	Reading and Writing Numbers	Reading and Writing numbers in numerals and in words
4	Comparing objects	Comparing the number of objects in two or more sets
5	Ordering	Comparing and ordering numbers
6	Patterns	Patterns in number sequences
7	Ordinal numbers	First, second, third… until tenth
8	Number bonds	Numbers bond for up to 10
9	Addition and Subtraction	Concepts of addition and subtraction
10	Use of symbols	use of +, -, and =
11	Addition and Subtraction	relationship between addition and subtraction
12	Adding more than two 1-digit numbers	Adding more than two 1-digit numbers
13	Add and subtracting within 100	Add and subtracting within 100
14	Adding and subtracting using algorithms	Adding and subtracting using algorithms
15	Solving 1-step word problems involving addition and subtraction within 20	Solving 1-step word problems involving addition and subtraction within 20
16	concepts of multiplication and division	concepts of multiplication and division
17	use of x	use of x
18	multiplying within 40	multiplying within 40
19	dividing within 20	dividing within 20
20	solving 1-step word problems involving multiplication and division with pictorial representation	solving 1-step word problems involving multiplication and division with pictorial representation
21	counting amount of money	counting amount of money
22	solving 1-step word problems involving addition and subtraction of money in dollars only	solving 1-step word problems involving addition and subtraction of money in dollars only
23	measuring and comparing the length of objects in non-standard units	measuring and comparing the length of objects in non-standard units
24	telling time to the hour/half hour	telling time to the hour/half hour
25	identifying, naming, describing and classifying 2D shapes	identifying, naming, describing and classifying 2D shapes
26	making/completing patterns with 2D shapes according to size, shape, colour, orientation	making/completing patterns with 2D shapes according to size, shape, colour, orientation
27	reading and interpreting data from picture graphs	reading and interpreting data from picture graphs
28	counting in tens/hundreds	counting in tens/hundreds
29	number notation, representations and place values (hunds, tens, ones)	number notation, representations and place values (hunds, tens, ones)
30	reading and writing numbers in numerals and in words	reading and writing numbers in numerals and in words
31	comparing and ordering numbers	comparing and ordering numbers
32	patterns in number sequences	patterns in number sequences
33	odd and even numbers	odd and even numbers
34	addition and subtraction algorithms (up to 3 digits)	addition and subtraction algorithms (up to 3 digits)
35	solving up to 2-step word problems involving addition and subtraction	solving up to 2-step word problems involving addition and subtraction
36	multiplication tables of 2,3,4,5 and 10	multiplication tables of 2,3,4,5 and 10
37	use of +	use of +
38	relationship between multiplication and division	relationship between multiplication and division
39	multiplying and dividing within the multiplication tables	multiplying and dividing within the multiplication tables
40	solving 1-step word problems involving multiplication and division within the multiplication tables	solving 1-step word problems involving multiplication and division within the multiplication tables
41	fraction as part of a whole	fraction as part of a whole
42	notation and representation of fractions	notation and representation of fractions
43	comparing and ordering fractions with denominator of giving fractions not exceeding 12	comparing and ordering fractions with denominator of giving fractions not exceeding 12
